provinciale_weg_1,N307,Markerwaarddijk,N307 Markerwaarddijk,OF,OF=Oostelijk Flevoland
provinciale_weg_2,N307,Houtribweg,N307 Houtribweg,OF,ZF= Zuidelijk Flevoland
provinciale_weg_3,N305,Biddingringweg,N305 Biddingringweg,OF,NOP= Noordoostpolder
provinciale_weg_4,N307,Houtribweg,,,
provinciale_weg_5,N307,Hanzeweg,N307 Hanzeweg,OF,
provinciale_weg_6,N307,Dronterweg,N307 Dronterweg,OF,
provinciale_weg_7,N307,Dronterweg,,,
provinciale_weg_8,N307,Dronterringweg,N307 Dronterringweg,OF,
provinciale_weg_9,N307,Overijsselseweg,N307 Overijsselseweg,OF,
provinciale_weg_11,N711,Kamperhoekweg,N711 Kamperhoekweg,OF,
provinciale_weg_12,N305,Biddingringweg,,,
provinciale_weg_13,N307,Dronterringweg,,,
provinciale_weg_14,N351,Kuinderweg,N351 Kuinderweg,NOP,
provinciale_weg_15,N331,Vollenhoverweg,N331 Vollenhoverweg,NOP,
provinciale_weg_16,N331,Marknesserweg,N331 Marknesserweg,NOP,
provinciale_weg_17,N712,Wrakkenweg,N712 Wrakkenweg,NOP,
provinciale_weg_18,N333,Steenwijkerweg,N333 Steenwijkerweg,NOP,
provinciale_weg_19,N715,Oosterringweg,N715 Oosterringweg,NOP,
provinciale_weg_20,N715,Oosterringweg,,,
provinciale_weg_21,N718,Banterweg,N718 Banterweg,NOP,
provinciale_weg_22,N715,Noorderringweg,N715 Noorderringweg,NOP,
provinciale_weg_23,N712,Westerringweg,N712 Westerringweg,NOP,
provinciale_weg_24,N714,Espelerweg,N714 Espelerweg,NOP,
provinciale_weg_25,N712,Espelerringweg,N712 Espelerringweg,NOP,
provinciale_weg_26,N713,Zuidwesterringweg,N713 Zuidwesterringweg,NOP,
provinciale_weg_27,N717,Hannie Schaftweg,N717 Hannie Schaftweg,NOP,
provinciale_weg_28,N351,Urkerweg,N351 Urkerweg,NOP,
provinciale_weg_29,N352,Domineesweg,N352 Domineesweg,NOP,
provinciale_weg_30,N719,Leemringweg,N719 Leemringweg,NOP,
provinciale_weg_31,N352,Zuiderringweg,N352 Zuiderringweg,NOP,
provinciale_weg_32,N710,Lisdoddeweg,N710 Lisdoddeweg,OF,
provinciale_weg_33,N302,Larserweg,N302 Larserweg,OF,
provinciale_weg_34,N710,Swifterweg,N710 Swifterweg,OF,
provinciale_weg_35,N709,Oldebroekerweg,N709 Oldebroekerweg,OF,
provinciale_weg_36,N309,Elburgerweg,N309 Elburgerweg,OF,
provinciale_weg_37,N306,Harderbosweg,N306 Harderbosweg,OF,
provinciale_weg_38,N302,Ganzenweg,N302 Ganzenweg,OF,
provinciale_weg_39,N305,Gooiseweg,N305 Gooiseweg,ZF,
provinciale_weg_40,N705,Spiekweg,N705 Spiekweg,ZF,
provinciale_weg_41,N706,Vogelweg,N706 Vogelweg,ZF,
provinciale_weg_42,N701,Oostvaardersdijk,N701 Oostvaardersdijk,ZF,
provinciale_weg_43,N702,Hogering,N702 Hogering,ZF,
provinciale_weg_44,S104,Tussenring,"S104,Tussenring",ZF,
provinciale_weg_45,N301,Nijkerkseweg,N301 Nijkerkseweg,ZF,
provinciale_weg_46,N704,Eemmeerdijk,N704 Eemmeerdijk,ZF,
provinciale_weg_47,N705,Roerdompweg,N705 Roerdompweg,ZF,
provinciale_weg_48,N716,Ploegstraat,N716 Ploegstraat,NOP,
provinciale_weg_49,,Kamperweg,,,
provinciale_weg_67,N307,Passage,"N307,Passage Dronten",OF,
provinciale_weg_68,N708,Bremerbergweg,N708 Bremerbergweg,OF,
provinciale_weg_70,,Swifterringweg,,,
provinciale_weg_72,,Larserpad,,,
provinciale_weg_74,N302,Houtribweg,,,
provinciale_weg_78,N307,Dronterringweg,,,
provinciale_weg_79,N306,Drontermeerdijk,N306 Drontermeerdijk,OF,
provinciale_weg_80,N707,Knardijk,N707 Knardijk,ZF,
provinciale_weg_81,N305,Gooiseweg,,,
provinciale_weg_82,N305,Biddingringweg,,,
provinciale_weg_83,N306,Spijkweg,N306 Spijkweg,OF,
provinciale_weg_84,N707,Zeewolderdijk,N707 Zeewolderdijk,ZF,
provinciale_weg_85,N702,Buitenring,N702 Buitenring,ZF,
provinciale_weg_86,N307,Houtribweg,,,
provinciale_weg_87,N305,Waterlandseweg,"N305,Waterlandseweg",ZF,
provinciale_weg_88,N305,Gooiseweg,,,
provinciale_weg_89,N305,Gooiseweg,,,
provinciale_weg_90,,Enser rondweg,,,
provinciale_weg_91,N710,Biddingweg,N710 Biddingweg,OF,
provinciale_weg_92,N704,Slingerweg,N704 Slingerweg,ZF,
provinciale_weg_93,N704,Gooimeerdijk-Oost,N704 Gooimeerdijk-Oost,ZF,
provinciale_weg_94,N705,Spiekweg,N705 Spiekweg,ZF,
provinciale_weg_95,N705,Schollevaarweg,N705 Schollevaarweg,ZF,
provinciale_weg_97,N712,Gemaalweg,N712 Gemaalweg,NOP,
provinciale_weg_98,N712,Venelaan,N712 Venelaan,,
provinciale_weg_100,N331,Marknesserweg,N331 Marknesserweg,NOP,
provinciale_weg_101,N352,Repelweg,N352 Repelweg,NOP,
provinciale_weg_102,N352,Kraggenburgerweg,N352 Kraggenburgerweg,NOP,
provinciale_weg_103,N352,Kadoelerweg,N352 Kadoelerweg,NOP,
provinciale_weg_104,N351,Kuinderweg,N351 Kuinderweg,NOP,
provinciale_weg_105,N352,Baan,N352 Baan,NOP,
provinciale_weg_106,N352,Oostereind,N352 Oostereind,NOP,
provinciale_weg_107,N715,Noorderringweg,,,
provinciale_weg_108,N714,Muntweg,N714 Muntweg,NOP,
provinciale_weg_109,N712,Staartweg,N712 Staartweg,NOP,
provinciale_weg_110,N716,Nagelerweg,N716 Nagelerweg,NOP,
provinciale_weg_111,N716,Akkerstraat,N716 Akkerstraat,NOP,
provinciale_weg_112,N712,Galamalaan,N712 Galamalaan,NOP,
provinciale_weg_113,N352,Schokkerringweg,N352 Schokkerringweg,NOP,
provinciale_weg_114,N305,Biddingringweg,N305 Biddingringweg,OF,
provinciale_weg_115,N307,Dronterweg,,,
provinciale_weg_116,N309,Elburgerweg,,,
provinciale_weg_117,N714,Espelerweg,,,
provinciale_weg_118,N302,Ganzenweg,,,
provinciale_weg_119,N305,Gooiseweg,,,
provinciale_weg_120,N717,Hannie Schaftweg,,,
provinciale_weg_121,N307,Hanzeweg,,,
provinciale_weg_122,,Kamperweg,,,
provinciale_weg_123,N351,Kuinderweg,,,
provinciale_weg_124,N351,Kuinderweg,,,
provinciale_weg_125,,Larserpad,,,
provinciale_weg_126,N302,Larserweg,,,
provinciale_weg_127,N716,Nagelerweg,,,
provinciale_weg_128,N301,Nijkerkseweg,,,
provinciale_weg_129,N705,Spiekweg,,,
provinciale_weg_130,N351,Urkerweg,,,
provinciale_weg_131,N713,Zuidwesterringweg,,,
provinciale_weg_132,N706,Vogelweg,,,
provinciale_weg_133,N706,Vogelweg,,,
provinciale_weg_134,N331,Vollenhoverweg,N331 Vollenhoverweg,NOP,
provinciale_weg_135,N305,Waterlandseweg,,,
provinciale_weg_136,N309,Elburgerweg,N309 Elburgerweg,OF,
provinciale_weg_137,,Larserpad,,,
provinciale_weg_138,,Larserpad,,,
provinciale_weg_0,,Nijkerkerpad,,,
